f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,emotion
3.134288e+01,2.019293e-01,2.740424e+01,2.930984e+01,3.619412e+01,8.789881e+00,6.736053e+01,1.755152e+01,8.098135e+01,8.406310e+01,2.191085e-01,1.192745e+00,1.084881e-02,7.013860e-02,4.558950e-01,4.450462e-01,5.048479e+00,3.006287e+00,4.455876e+00,2.171477e+00,1.066861e-01,1.666157e+00,1.191623e+01,1.236165e+00,5.326502e+00,1.844559e+00,7.647779e+00,2.221073e+00,-1.202845e+00,-1.206453e+01,6.058816e-02,1.779048e+00,1.417396e+00,5.394258e-01,3.704289e+00,1.150838e+00,4.279258e+00,1.538807e+00,2.021962e+01,4.136357e-01,6.491021e+02,4.203254e-01,1.066214e+03,2.618800e-01,-1.284419e+02,-7.118754e-01,1.743717e+03,1.751414e-01,6.559349e+02,6.403250e-01,-1.316676e+02,-6.431550e-01,2.815448e+03,1.436915e-01,6.585837e+02,4.464387e-01,-1.319635e+02,-6.400859e-01,-1.236815e+01,-6.073066e-01,1.992423e+01,4.446681e-01,7.972407e-02,5.392447e-01,-2.240954e-02,-7.279096e-01,2.536881e-01,8.257158e-01,2.341906e+01,5.355151e-01,8.505494e+00,1.458189e+00,1.485348e+01,1.562287e+00,-7.191921e+00,-2.730388e+00,-3.228619e+00,1.180809e+01,4.892329e-02,5.693212e-03,1.224538e-02,2.209945e+00,1.120448e+00,3.475000e-01,1.207011e-01,4.180000e-01,4.233863e-01,-4.009606e+01,surprised
3.524576e+01,1.971846e-01,3.150007e+01,3.708296e+01,4.017057e+01,8.670504e+00,7.419274e+01,3.513082e+01,1.440556e+02,1.348589e+02,3.853575e-01,1.187379e+00,2.733147e-02,1.613566e-01,6.605421e-01,6.332106e-01,7.204853e+00,4.090267e+00,8.545780e+00,5.448770e+00,2.416457e-01,1.538022e+00,1.234226e+01,1.200564e+00,3.512545e+00,3.450446e+00,3.997919e+00,3.914783e+00,-3.819941e+00,-4.039433e+00,6.290501e-02,2.143861e+00,1.363302e+00,6.524010e-01,5.096937e+00,9.200199e-01,3.850947e+00,6.127704e+00,1.516535e+01,1.627687e+00,6.349636e+02,4.111452e-01,1.091367e+03,2.199873e-01,-1.372935e+02,-6.261192e-01,1.725645e+03,1.895884e-01,6.556168e+02,4.776705e-01,-1.262121e+02,-6.777801e-01,2.794530e+03,1.331888e-01,6.659183e+02,3.965058e-01,-1.269465e+02,-6.666651e-01,-1.257255e+01,-6.109273e-01,2.117738e+01,4.310399e-01,5.435598e-02,9.484727e-01,-1.813174e-02,-9.419797e-01,5.323727e-01,7.802172e-01,2.122936e+01,5.947759e-01,5.724921e+00,2.607565e+00,8.282902e+00,2.527527e+00,-9.034925e+00,-1.996825e+00,-6.592593e+00,1.639113e+01,4.644996e-02,4.715304e-03,2.928527e-02,2.331606e+00,1.312336e+00,3.200000e-01,1.508642e-01,4.180000e-01,4.448550e-01,-3.371409e+01,surprised
3.871044e+01,1.451700e-01,3.729665e+01,3.994606e+01,4.285062e+01,5.553967e+00,8.973671e+01,9.457035e+01,4.041378e+01,3.731526e+01,1.357719e+00,1.293088e+00,2.100504e-02,3.388057e-01,2.945335e+00,2.924330e+00,2.378234e+01,1.175805e+01,2.036557e+01,1.309157e+01,1.095860e+00,1.405489e+00,1.053924e+01,1.248188e+00,-2.223324e+00,-8.840816e+00,8.759796e+00,1.706110e+00,-2.155061e+00,-1.046056e+01,4.219070e-02,1.675905e+00,1.160666e+00,6.237136e-01,5.188866e+00,9.265132e-01,8.280571e+00,1.173405e+00,8.886738e+00,1.007637e+00,9.263506e+02,2.917164e-01,9.078589e+02,4.252035e-01,-1.159369e+02,-8.204858e-01,2.021459e+03,1.433249e-01,7.092048e+02,5.257322e-01,-1.086077e+02,-8.688066e-01,3.006581e+03,8.346665e-02,8.785350e+02,4.121539e-01,-1.083473e+02,-8.730021e-01,-4.242255e+00,-1.820617e+00,1.130317e+01,8.103914e-01,4.586933e-02,1.196726e+00,-1.146351e-02,-1.399805e+00,2.226910e+00,7.079938e-01,1.333315e+01,8.731848e-01,-1.497202e+01,-1.298317e+00,1.040967e+01,1.754932e+00,-1.582930e+01,-1.597021e+00,-1.981599e+01,3.157876e+01,-3.711045e-02,4.160975e-03,5.811416e-02,2.083333e+00,9.367682e-01,5.100000e-01,2.869669e-01,4.280000e-01,4.444502e-01,-2.031762e+01,angry
3.133705e+01,1.163736e-01,3.006176e+01,3.233601e+01,3.332119e+01,3.259426e+00,7.106040e+01,9.493545e+01,3.931366e+01,2.470744e+01,1.940699e-01,1.148863e+00,1.910998e-02,6.196119e-02,4.098060e-01,3.906960e-01,4.278463e+00,3.140390e+00,3.723587e+00,2.440307e+00,6.838682e-02,1.448330e+00,1.366388e+01,1.260389e+00,1.704384e+00,6.413067e+00,1.085616e+01,1.139121e+00,4.531181e+00,4.204188e+00,3.728456e-02,1.320577e+00,1.065625e+00,7.111595e-01,4.831245e+00,9.075664e-01,8.740341e-01,7.379570e+00,1.619420e+01,5.126271e-01,5.296987e+02,4.669951e-01,1.144797e+03,2.096491e-01,-1.309779e+02,-7.016538e-01,1.558755e+03,1.994885e-01,7.948186e+02,3.512885e-01,-1.284430e+02,-6.924763e-01,2.550546e+03,1.303462e-01,7.001288e+02,4.478015e-01,-1.293376e+02,-6.786696e-01,-1.171128e+01,-4.734406e-01,2.038740e+01,3.083492e-01,9.366737e-02,4.062094e-01,-2.078022e-02,-5.361471e-01,1.644544e-01,5.981103e-01,2.980573e+01,3.697970e-01,-1.250004e+00,-9.539577e+00,1.454730e+01,1.143382e+00,-8.594415e+00,-2.725116e+00,-5.216056e+00,1.328251e+01,6.969839e-03,8.996746e-03,7.262852e-03,1.769912e+00,5.988024e-01,6.500000e-01,3.100000e-01,6.633334e-01,4.000278e-01,-4.334158e+01,happy
3.133705e+01,1.163736e-01,3.006176e+01,3.233601e+01,3.332119e+01,3.259426e+00,7.106040e+01,9.493545e+01,3.931366e+01,2.470744e+01,1.940699e-01,1.148863e+00,1.910998e-02,6.196119e-02,4.098060e-01,3.906960e-01,4.278463e+00,3.140390e+00,3.723587e+00,2.440307e+00,6.838682e-02,1.448330e+00,1.366388e+01,1.260389e+00,1.704384e+00,6.413067e+00,1.085616e+01,1.139121e+00,4.531181e+00,4.204188e+00,3.728456e-02,1.320577e+00,1.065625e+00,7.111595e-01,4.831245e+00,9.075664e-01,8.740341e-01,7.379570e+00,1.619420e+01,5.126271e-01,5.296987e+02,4.669951e-01,1.144797e+03,2.096491e-01,-1.309779e+02,-7.016538e-01,1.558755e+03,1.994885e-01,7.948186e+02,3.512885e-01,-1.284430e+02,-6.924763e-01,2.550546e+03,1.303462e-01,7.001288e+02,4.478015e-01,-1.293376e+02,-6.786696e-01,-1.171128e+01,-4.734406e-01,2.038740e+01,3.083492e-01,9.366737e-02,4.062094e-01,-2.078022e-02,-5.361471e-01,1.644544e-01,5.981103e-01,2.980573e+01,3.697970e-01,-1.250004e+00,-9.539577e+00,1.454730e+01,1.143382e+00,-8.594415e+00,-2.725116e+00,-5.216056e+00,1.328251e+01,6.969839e-03,8.996746e-03,7.262852e-03,1.769912e+00,5.988024e-01,6.500000e-01,3.100000e-01,6.633334e-01,4.000278e-01,-4.334158e+01,happy
4.129268e+01,1.008240e-01,3.904221e+01,4.017730e+01,4.416609e+01,5.123886e+00,5.021603e+01,3.913190e+01,5.453022e+01,4.651580e+01,4.038233e-01,1.271750e+00,1.666126e-02,6.103490e-02,8.637360e-01,8.470747e-01,8.717568e+00,5.051019e+00,8.305458e+00,4.318104e+00,2.053992e-01,1.599975e+00,8.575764e+00,1.503063e+00,-4.948529e+00,-2.538043e+00,3.059393e+00,4.768898e+00,-6.943529e+00,-2.827945e+00,2.209969e-02,1.056714e+00,9.643259e-01,6.606872e-01,7.961316e+00,6.699408e-01,6.925959e+00,1.333573e+00,1.246313e+01,7.177917e-01,8.071320e+02,3.535166e-01,1.078594e+03,2.603528e-01,-1.378662e+02,-6.437402e-01,1.893824e+03,1.663730e-01,7.236280e+02,5.527874e-01,-1.228743e+02,-7.241923e-01,2.894969e+03,1.149811e-01,8.141076e+02,3.917045e-01,-1.225755e+02,-7.263992e-01,-7.577902e+00,-8.598832e-01,1.543055e+01,4.750121e-01,7.480991e-02,7.231987e-01,-1.658755e-02,-6.671945e-01,4.631929e-01,7.900133e-01,1.683139e+01,7.670215e-01,-9.332073e+00,-1.613402e+00,4.588661e+00,4.201933e+00,-1.998794e+01,-1.206243e+00,-6.670697e+00,1.663850e+01,3.526640e-02,3.954328e-03,2.013259e-02,2.601156e+00,1.173021e+00,3.550000e-01,7.262919e-02,9.350000e-01,6.500000e-02,-3.284648e+01,fearful
3.085028e+01,1.524891e-01,2.830034e+01,3.106180e+01,3.427664e+01,5.976303e+00,6.179190e+01,6.050352e+01,1.392006e+02,1.396235e+02,3.194766e-01,1.158462e+00,7.409777e-03,1.726438e-01,6.650690e-01,6.576593e-01,8.816906e+00,5.543941e+00,6.510263e+00,3.521931e+00,1.574758e-01,1.384319e+00,1.165935e+01,1.279662e+00,6.568204e+00,1.675094e+00,1.235952e+01,1.261936e+00,-3.912790e+00,-4.347496e+00,5.933686e-02,1.776407e+00,1.261718e+00,7.576956e-01,3.787959e+00,1.136376e+00,3.337038e+00,2.842968e+00,1.491636e+01,5.239530e-01,5.779839e+02,4.278334e-01,1.085824e+03,2.437610e-01,-1.274862e+02,-7.222883e-01,1.704145e+03,1.573341e-01,6.659855e+02,7.268901e-01,-1.252794e+02,-6.948942e-01,2.660221e+03,1.304441e-01,7.649290e+02,4.899695e-01,-1.234714e+02,-7.203794e-01,-1.047436e+01,-6.136606e-01,1.606173e+01,4.076126e-01,5.698291e-02,8.619870e-01,-2.419717e-02,-6.724257e-01,3.267708e-01,6.818663e-01,2.318594e+01,4.946251e-01,5.021122e+00,2.892207e+00,2.073713e+01,8.773092e-01,-1.558083e+01,-1.217146e+00,-8.647508e+00,1.882382e+01,1.867914e-02,8.495976e-03,4.333958e-02,2.184466e+00,1.474202e+00,2.750000e-01,1.890987e-01,3.271429e-01,4.049943e-01,-3.703962e+01,disgust
3.583284e+01,1.764643e-01,3.591315e+01,3.811895e+01,3.928236e+01,3.369213e+00,4.389597e+02,4.243405e+02,7.225244e+01,5.060546e+01,6.286692e-01,1.107599e+00,4.073880e-02,3.636599e-01,1.381843e+00,1.341104e+00,1.138046e+01,5.644292e+00,9.804747e+00,6.095753e+00,3.578548e-01,1.276971e+00,1.360265e+01,8.940024e-01,-2.221717e+00,-5.927220e+00,5.763900e+00,2.547675e+00,2.880266e+00,7.512966e+00,2.808991e-02,1.470463e+00,1.039985e+00,7.023742e-01,6.406104e+00,8.011970e-01,6.468463e+00,1.249425e+00,1.390641e+01,6.892015e-01,6.481055e+02,4.954792e-01,1.110634e+03,2.208523e-01,-1.410067e+02,-6.123626e-01,1.692485e+03,2.169801e-01,7.919586e+02,5.773157e-01,-1.185183e+02,-7.669946e-01,2.717919e+03,1.523726e-01,7.446905e+02,4.828215e-01,-1.192633e+02,-7.564342e-01,-8.384194e+00,-7.203107e-01,1.537360e+01,4.761938e-01,8.814994e-02,4.316693e-01,-2.041787e-02,-7.468673e-01,7.373863e-01,5.904617e-01,2.008994e+01,5.242200e-01,-7.054923e+00,-1.740800e+00,5.553005e+00,3.274171e+00,-8.621159e+00,-3.175024e+00,-1.180108e+01,2.156219e+01,-2.418132e-02,1.953652e-03,7.142184e-02,2.094241e+00,1.591512e+00,2.650000e-01,2.353543e-01,2.928571e-01,3.694673e-01,-2.914817e+01,happy
4.254561e+01,1.291059e-01,4.014629e+01,4.311343e+01,4.717070e+01,7.024418e+00,6.325941e+01,6.151356e+01,7.672162e+01,5.239611e+01,1.484170e+00,1.314768e+00,1.719181e-02,1.851569e-01,3.486765e+00,3.469573e+00,2.370483e+01,1.626753e+01,3.056351e+01,2.271996e+01,1.240666e+00,1.524042e+00,6.363200e+00,1.765073e+00,-6.674533e+00,-2.871754e+00,5.427424e+00,2.177296e+00,-5.543150e+00,-4.160456e+00,2.512033e-02,1.281435e+00,1.120520e+00,6.247955e-01,5.911354e+00,9.464728e-01,6.356186e+00,1.627545e+00,3.528658e+00,2.793658e+00,1.055742e+03,1.714731e-01,7.758421e+02,4.847931e-01,-1.228012e+02,-7.618293e-01,2.088617e+03,1.046789e-01,6.849227e+02,4.594914e-01,-1.198541e+02,-7.810977e-01,3.087841e+03,6.192477e-02,7.123510e+02,3.985107e-01,-1.199591e+02,-7.791705e-01,-1.910548e+00,-2.573239e+00,7.733428e+00,8.135303e-01,8.701903e-02,4.938915e-01,-1.098872e-02,-9.607537e-01,2.865474e+00,6.863931e-01,7.838448e+00,1.466772e+00,-2.339413e+01,-6.148902e-01,3.223347e+00,4.838830e+00,-2.596177e+01,-8.490819e-01,-1.152350e+01,2.302919e+01,-1.375910e-02,5.579327e-03,9.460843e-02,2.094241e+00,1.061008e+00,3.875000e-01,1.773943e-01,4.260000e-01,4.267364e-01,-1.837593e+01,angry
2.400353e+01,1.174246e-01,2.197926e+01,2.370291e+01,2.743905e+01,5.459793e+00,1.776960e+02,1.339052e+02,2.555708e+01,1.050291e+01,1.296516e-01,1.096273e+00,1.487904e-02,6.524514e-02,2.249792e-01,2.101002e-01,1.585893e+00,8.746961e-01,2.074518e+00,1.342447e+00,3.106590e-02,1.221918e+00,1.513168e+01,1.314914e+00,8.509423e+00,1.169482e+00,9.253075e+00,1.256730e+00,2.600084e+00,5.599051e+00,1.332317e-02,9.735332e-01,9.674174e-01,8.361080e-01,4.727662e+00,5.649884e-01,3.127493e+00,1.403362e+00,1.943695e+01,3.588027e-01,4.431079e+02,3.994658e-01,1.148846e+03,2.653497e-01,-1.249135e+02,-7.435763e-01,1.388198e+03,1.853110e-01,9.585870e+02,3.551449e-01,-1.291684e+02,-6.766446e-01,2.351632e+03,8.751337e-02,7.773856e+02,4.948444e-01,-1.309033e+02,-6.501877e-01,-1.460921e+01,-4.944512e-01,2.239310e+01,3.669554e-01,5.856763e-02,5.880306e-01,-2.440769e-02,-5.381534e-01,6.646782e-02,5.324641e-01,3.275443e+01,4.080627e-01,6.145026e+00,1.936758e+00,1.187591e+01,1.266297e+00,-5.122522e+00,-3.524985e+00,-4.373227e+00,1.223390e+01,3.275032e-02,4.339721e-03,9.190962e-03,2.150538e+00,1.634877e+00,2.283333e-01,1.023746e-01,4.300000e-01,3.853310e-01,-4.796385e+01,neutral
